"text","post_content","source_type"
"Ghislaine Herminie Bonato vu hier à Andernos-les-Bains","À l’issue de la projection du film réalisé par Ryūsuke Hamaguchi le 7 septembre à l’Utopia, le public pourra échanger avec des professionnels travaillant en Ehpad, ainsi qu’avec le président du département de la Gironde Jean-Luc Gleyze et Sandrine Gaillard, directrice-formatrice Humanitude","post"
"https://l.sudouest.fr/jdUR","Le Récap Landes : les 5 infos à retenir ce lundi 31 août 2026","post"
"Si les Sofiane son compte c'est que c'est un bon projet alors","Pays Royannais : la section locale du Parti socialiste prend position contre le projet « d’usine d’élevage de saumons » au Verdon-sur-Mer","post"
"Dans un avion cargo pouvant transporter des tonnes de matériel ?   🤔
😐...... 😗..,,....... 😊","Russie : le patron de la CIA à Moscou pour dissuader Poutine d’attaquer l’Otan","post"
"Jean-François Torres 🙄","Jonathan Es propose que les anciens pompiers toujours aptes puissent être rappelés pour les feux ou des inondations. Un sénateur le soutient dans cette démarche inédite","post"
"Meyer ? Comme par hasard !!!","🔴 Affaire Lyhanna : la procureure d’Auch Clémence Meyer, mutée au parquet général de Bordeaux « dans les prochains jours »
🔗https://l.sudouest.fr/15fe","post"
"Un moment donné que voulez-vous qu’on dise ! On rabâche à tord et à travers que les barrières sont pas là pour rien et des abrutis finis les franchissent quand même! Les seuls que je plains c’est le conducteur de train qui a tout vu et est traumatisé et les passagers qui sont en retard dans leurs vie parce qu’un petit con c’est cru plus malin","Un adolescent de 14 ans en trottinette mortellement fauché par un train, les barrières du passage à niveau « ont correctement fonctionné »","post"
"Steeve Marty ça rapporte  quoi ? Vas y explique Mr vroum vroum  !","L’accident s’est produit au passage de la course à Orègue, samedi 29 août. Le pilote et son copilote sont incarcérés dans leur voiture. Les pompiers s’emploient à les extraire de l’habitacle. Les deux hommes seraient en état d’urgence absolue","post"
"Bravo","Référendum sur l’Union européenne : les Islandais rejettent la reprise des négociations d’adhésion","post"
"Heureusement qui siffle pas l’internationale😭🤣🤣🤣","Qui a volé Coco, le perroquet qui siffle « Le pont de la rivière Kwaï ? À Angoulême, sa propriétaire, dépitée, lance un appel
➡️ https://l.charentelibre.fr/trK","post"
"Quelle comparaison digne d’un baudet🤡","« J’en ai assez de commenter le désastre » : la journaliste Natacha Polony se lance en politique pour « perturber l’entre-soi »","post"
"Rising Sun Akemyst","Réchauffement climatique : sur Arte, le choix conscient des élites de nous guider dans le mur mis en lumière par un documentaire","post"
"Aurelie Morin les 15h pour avoir le rsa est une fausse bonne idée. Les employeurs vont profiter de la situation et créer de plus en plus d'emplois precaires","Budget 2027 : le RSA et le minimum vieillesse seront indexés sur l’inflation, confirme Jean-Pierre Farandou","post"
